IDmaster,Species1,Accepted_name_TNRS2022,LA,LDMC,LMA,Lth,Nmass,SM,SSD,H,Biogeo_status,Ende_status,Lineage,Lineage_Source,Accepted_family_TNRS2022,Growth_form
1,Adenocarpus foliolosus,Adenocarpus foliolosus,13.802,426.4214047,76.07593102,0.0825,45.0694325,4.2,0.5392945,4,CE,Cla,Adenocarpus,"Percy, Diana M., and Quentin CB Cronk. ""Different fates of island brooms: contrasting evolution in Adenocarpus, Genista, and Teline (Genisteae, Fabaceae) in the Canary Islands and Madeira."" American Journal of Botany 89.5 (2002): 854-864.",Fabaceae,shrub
2,Adenocarpus viscosus,Adenocarpus viscosus,19.11354839,427.6883323,115.1015999,0.201666667,41.19977,5.9,0.497416667,1,CE,Cla,Adenocarpus,"Percy, Diana M., and Quentin CB Cronk. ""Different fates of island brooms: contrasting evolution in Adenocarpus, Genista, and Teline (Genisteae, Fabaceae) in the Canary Islands and Madeira."" American Journal of Botany 89.5 (2002): 854-864.",Fabaceae,shrub
3,Aeonium arboreum,Aeonium arboreum,1814.585333,64.39979709,109.1158384,1.4665,11.98772667,0.013,0.362497333,2,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
4,Aeonium canariense,Aeonium canariense,10400.04,40.66479917,198.2684682,3.45,6.062063333,0.0265,NA,0.4,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
5,Aeonium ciliatum,Aeonium ciliatum,1679.8485,72.0055466,166.8801284,3.355,10.2946975,0.1,0.419582333,1,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
6,Aeonium cuneatum,Aeonium cuneatum,10202.06444,38.89594777,129.0915194,2.468,8.864043333,0.023,NA,1.2,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
7,Aeonium decorum,Aeonium decorum,NA,NA,NA,NA,NA,0.0255,NA,0.6,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
8,Aeonium haworthii,Aeonium haworthii,735.607,58.52923523,180.3499242,5.525,7.229606667,0.0085,0.592806667,0.4,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
9,Aeonium lindleyi,Aeonium lindleyi,425.5755,28.28889907,81.06669674,6.4435,8.63918,NA,0.4681485,0.5,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
10,Aeonium pseudourbicum,Aeonium pseudourbicum,3936.0712,72.33332141,270.913121,4.28525,8.415253333,0.0195,0.384444,0.6,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
11,Aeonium sedifolium,Aeonium sedifolium,46.23,76.12546487,126.9017233,2.360666667,7.707383333,0.026,0.556132333,0.4,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
12,Aeonium smithii,Aeonium smithii,575.175,51.36638056,105.4751452,2.03775,12.06684333,0.089,0.288473333,0.6,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
13,Aeonium spathulatum,Aeonium spathulatum,197.007,76.39115173,63.4495221,0.920333333,13.53073667,0.064,0.407611667,0.6,CE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
14,Aeonium tabulaeforme,Aeonium tabuliforme,972.4886667,38.74490695,78.83553742,3.085333333,4.584776667,0.0276,0.238987,0.6,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,herb
15,Aeonium urbicum,Aeonium urbicum,4066.661,80.71205357,271.7626738,3.511,9.614633333,0.058,0.371798,0.9,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
16,Aeonium volkerii,Aeonium volkeri,395.938,57.25806232,145.6456987,3.793,8.556913333,0.0355,0.731021,0.4,TE,Cla,Aeonium,"Mort, Mark E., et al. ""Phylogenetics and evolution of the Macaronesian clade of Crassulaceae inferred from nuclear and chloroplast sequence data."" Systematic Botany 27.2 (2002): 271-288.",Crassulaceae,shrub
