ID sampled leaves,IDmaster,Species ,total number of individuals collected for leaves,number of leaves ,total fresh mass (g) ,total dry mass (g) ,Leaf dry mass (g). Formula =G2/E2,LDMC (mg/g)
451,1,Adenocarpus foliolosus (Aiton) DC.,3,50,0.13,0.06,0.0012,461.5384615
901,1,Adenocarpus foliolosus (Aiton) DC.,3,100,0.23,0.09,0.0009,391.3043478
1,1,Adenocarpus foliolosus (Aiton) DC.,3,,,,,
1351,1,Adenocarpus foliolosus (Aiton) DC.,3,,,,,
1801,1,Adenocarpus foliolosus (Aiton) DC.,3,,,,,
1352,2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,50,0.3,0.13,0.0026,433.3333333
902,2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,100,0.43,0.2,0.002,465.1162791
452,2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,100,0.52,0.2,0.002,384.6153846
2,2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,,,,,
1802,2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,,,,,
453,3,Aeonium arboreum (L.) Webb & Berthel.,3,10,37.43,2.84,0.284,75.8749666
3,3,Aeonium arboreum (L.) Webb & Berthel.,3,10,23.8,1.48,0.148,62.18487395
903,3,Aeonium arboreum (L.) Webb & Berthel.,3,10,29.38,1.62,0.162,55.13955071
1353,3,Aeonium arboreum (L.) Webb & Berthel.,3,,,,,
1803,3,Aeonium arboreum (L.) Webb & Berthel.,3,,,,,
4,4,Aeonium canariense (L.) Webb & Berthel.,3,5,319.63,19.18,3.836,60.00688296
454,4,Aeonium canariense (L.) Webb & Berthel.,3,5,201.97,6.58,1.316,32.57909591
904,4,Aeonium canariense (L.) Webb & Berthel.,3,5,175.8,5.17,1.034,29.40841866
1354,4,Aeonium canariense (L.) Webb & Berthel.,3,,,,,
1804,4,Aeonium canariense (L.) Webb & Berthel.,3,,,,,
905,5,Aeonium ciliatum (Willd.) Webb & Berthel.,2,10,22.63,1.86,0.186,82.19178082
5,5,Aeonium ciliatum (Willd.) Webb & Berthel.,2,10,71,5.17,0.517,72.81690141
455,5,Aeonium ciliatum (Willd.) Webb & Berthel.,2,10,22.62,1.38,0.138,61.00795756
1355,5,Aeonium ciliatum (Willd.) Webb & Berthel.,2,,,,,
1805,5,Aeonium ciliatum (Willd.) Webb & Berthel.,2,,,,,
456,6,Aeonium cuneatum Webb & Berthel.,2,5,165.32,7.37,1.474,44.58020808
906,6,Aeonium cuneatum Webb & Berthel.,2,5,176.33,5.95,1.19,33.74354903
6,6,Aeonium cuneatum Webb & Berthel.,2,20,670.94,25.74,1.287,38.36408621
1356,6,Aeonium cuneatum Webb & Berthel.,2,,,,,
1806,6,Aeonium cuneatum Webb & Berthel.,2,,,,,
7,7,Aeonium decorum Webb ex Bolle,,,,,,
457,7,Aeonium decorum Webb ex Bolle,,,,,,
907,7,Aeonium decorum Webb ex Bolle,,,,,,
1357,7,Aeonium decorum Webb ex Bolle,,,,,,
1807,7,Aeonium decorum Webb ex Bolle,,,,,,
8,8,Aeonium haworthii (Salm-Dyck ex Webb & Berthel.) Webb & Berthel.,3,10,25.84,1.74,0.174,67.3374613
908,8,Aeonium haworthii (Salm-Dyck ex Webb & Berthel.) Webb & Berthel.,3,10,23.87,1.47,0.147,61.58357771
458,8,Aeonium haworthii (Salm-Dyck ex Webb & Berthel.) Webb & Berthel.,3,10,16.5,0.77,0.077,46.66666667
1358,8,Aeonium haworthii (Salm-Dyck ex Webb & Berthel.) Webb & Berthel.,3,,,,,
1808,8,Aeonium haworthii (Salm-Dyck ex Webb & Berthel.) Webb & Berthel.,3,,,,,
459,9,Aeonium lindleyi Webb & Berthel.,2,10,12.55,0.44,0.044,35.05976096
909,9,Aeonium lindleyi Webb & Berthel.,2,10,12,0.35,0.035,29.16666667
9,9,Aeonium lindleyi Webb & Berthel.,2,20,23.74,0.49,0.0245,20.64026959
1359,9,Aeonium lindleyi Webb & Berthel.,2,,,,,
1809,9,Aeonium lindleyi Webb & Berthel.,2,,,,,
910,10,Aeonium pseudourbicum A. Bañares,3,5,56.25,4.34,0.868,77.15555556
460,10,Aeonium pseudourbicum A. Bañares,3,10,185.21,13.56,1.356,73.2141893
10,10,Aeonium pseudourbicum A. Bañares,3,10,146.33,9.75,0.975,66.63021937
1360,10,Aeonium pseudourbicum A. Bañares,3,,,,,
1810,10,Aeonium pseudourbicum A. Bañares,3,,,,,
11,11,Aeonium sedifolium (Webb ex Bolle) Pit. & Proust,3,30,1.95,0.18,0.006,92.30769231
461,11,Aeonium sedifolium (Webb ex Bolle) Pit. & Proust,3,50,2.4,0.18,0.0036,75
911,11,Aeonium sedifolium (Webb ex Bolle) Pit. & Proust,3,50,6.55,0.4,0.008,61.06870229
1361,11,Aeonium sedifolium (Webb ex Bolle) Pit. & Proust,3,,,,,
1811,11,Aeonium sedifolium (Webb ex Bolle) Pit. & Proust,3,,,,,
