Species,IDmaster,ChargeNr,ProbeNr,Ntotal.mg.g.
Adenocarpus foliolosus (Aiton) DC.,1,410,410002,47.63033
Cedronella canariensis (L.) Webb & Berthel.,87,410,410214,47.37355
Adenocarpus foliolosus (Aiton) DC.,1,410,410001,47.04864
Drusa glandulosa (Poir.) Bornm.,133,410,410316,46.74464
Adenocarpus viscosus (Willd.) Webb & Berthel.,2,411,411056,46.74109
Fumaria montana Schmidt,169,410,410398,46.40918
Suaeda vera Forssk. ex J. F. Gmel.,397,410,410919,45.63522
Todaroa montana Webb ex Christ,410,410,410946,45.43524
Adenocarpus foliolosus (Aiton) DC.,1,410,410003,44.43347
Mercurialis canariensis Obbard & S.A. Harris,244,410,410586,43.46198
Descurainia bourgeauana (E. Fourn.) O. E. Schulz,122,410,410290,43.09736
Adenocarpus foliolosus (Aiton) DC.,1,411,411055,41.16529
Crambe strigosa L’Hér.,114,410,410267,40.94376
Withania aristata (Aiton) Pauquy,432,410,410990,40.61156
Mercurialis canariensis Obbard & S.A. Harris,244,410,410585,40.08695
Justicia hyssopifolia L.,202,410,410492,39.86747
Volutaria canariensis Wagenitz,430,410,410984,39.68486
Lobularia canariensis (DC.) L. Borgen,NA,411,411061,39.33114
Heliotropium ramosissimum (Lehm.) DC.,186,410,410448,39.32428
Bosea yervamora L.,65,410,410159,39.18921
Crambe strigosa L’Hér.,114,410,410269,38.93371
Urtica stachyoides Webb & Berthel.,420,410,410963,38.87727
Vicia cirrhosa C. Sm. ex Webb & Berthel.,422,410,410966,38.53533
Adenocarpus viscosus (Willd.) Webb & Berthel.,2,410,410006,38.47023
Adenocarpus viscosus (Willd.) Webb & Berthel.,2,410,410005,38.38799
Scrophularia arguta Sol. ex Aiton,355,410,410816,38.19007
Aspalthium bituminosum,433,410,410992,38.10518
Echium triste Svent.,143,410,410342,38.06188
Erysimum scoparium (Brouss. ex Willd.) Wettst.,155,410,410369,37.84621
Argyranthemum frutescensfrut,NA,411,411031,37.80875
Nepeta teydea Webb & Berthel.,264,410,410619,37.75827
"Patellifolia procumbens (C. Sm. ex Hornem.) A. J. Scott, Ford-Lloyd & J. T. Williams",278,410,410648,37.62953
Canarina canariensis (L.) Vatke,78,410,410187,37.4689
Urtica stachyoides Webb & Berthel.,420,410,410962,37.43092
Artemisia reptans C. Sm. in Buch,44,410,410112,37.35355
Arisarum simorrhinum Durieu in Duch.,40,410,410101,37.17132
Aizoon canariense L.,23,410,410061,36.82751
Arisarum simorrhinum Durieu in Duch.,40,410,410098,36.58875
Arisarum simorrhinum Durieu in Duch.,40,410,410102,36.58592
Artemisia ramosa C. Sm. in Buch,43,410,410109,36.57682
Arisarum simorrhinum Durieu in Duch.,40,410,410099,36.5402
Arisarum simorrhinum Durieu in Duch.,40,410,410100,36.44076
Vicia cirrhosa C. Sm. ex Webb & Berthel.,422,410,410965,36.37816
Argyranthemum adauctum (Link) Humphries,31,410,410074,36.31402
Cedronella canariensis (L.) Webb & Berthel.,87,410,410215,36.2588
Pericallis echinata (L. f.) B. Nord.,283,410,410658,36.131
Todaroa montana Webb ex Christ,410,410,410947,36.10185
Descurainia bourgeauana (E. Fourn.) O. E. Schulz,122,410,410291,36.05057
Nepeta teydea Webb & Berthel.,264,410,410618,36.03214
Descurainia lemsii Bramwell,124,410,410296,35.8747
Aizoon canariense L.,23,410,410060,35.77728
Tamus edulis Lowe,400,410,410923,35.55579
Medicago laciniata (L.) Mill.,240,410,410576,35.51333
Cryptotaenia elegans Webb ex Bolle,116,410,410275,35.29886
Bryonia verrucosa Dryand.,68,410,410165,35.18841
Hypericum grandifolium Choisy,192,410,410467,35.08519
Canarina canariensis (L.) Vatke,78,410,410188,34.94416
Descurainia millefolia (Jacq.)  Webb & Berthel.,125,410,410299,34.92152
Spartocytisus filipes Webb & Berthel.,391,410,410909,34.80277
Cryptotaenia elegans Webb ex Bolle,116,410,410274,34.78841
Medicago laciniata (L.) Mill.,240,410,410575,34.64983
Medicago laciniata (L.) Mill.,240,410,410577,34.57685
Spartocytisus filipes Webb & Berthel.,391,410,410910,34.49056
Descurainia gonzalesii Svent.,123,410,410295,34.4008
Scrophularia arguta Sol. ex Aiton,355,410,410815,34.24785
Argyranthemum broussonetii (Pers.) Humphries,32,410,410077,34.18112
Pericallis lanata (L’Hér.) B. Nord.,284,410,410663,34.07673
Silene lagunensis C. Sm. ex Christ,378,410,410873,33.98259
Sambucus nigra L,348,410,410805,33.95113
Oligomeris linifolia (Vahl) J. F. Macbr.,267,410,410625,33.71571
Heliotropium ramosissimum (Lehm.) DC.,186,410,410447,33.66666
Spartocytisus filipes Webb & Berthel.,391,410,410908,33.62313
Aichryson laxum (Haw.) Bramwell,17,410,410046,33.59703
Cedronella canariensis (L.) Webb & Berthel.,87,410,410216,33.56626
Gonospermum fruticosum (Buch) Less.,173,410,410410,33.54621
Todaroa montana Webb ex Christ,410,410,410948,33.50228
Aichryson pachycaulon Bolle,18,410,410051,33.498
Sonchus acaulis Dum. Cours.,383,410,410885,33.37198
Dactylis metlesicsii Schönfelder & Ludwig,120,410,410284,33.36364
Tolpis lagopoda C. Sm. in Buch,414,410,410951,33.15055
Ononis angustissima Lam.,268,410,410629,33.00364
Descurainia gonzalesii Svent.,123,410,410294,32.9775
Limonium pectinatum (Aiton) Kuntze,220,410,410533,32.97694
Scrophularia arguta Sol. ex Aiton,355,410,410817,32.96955
Erysimum scoparium (Brouss. ex Willd.) Wettst.,155,410,410368,32.91744
Sambucus nigra L,348,410,410804,32.87285
Tinguarra cervariaefolia (DC.) Parl.,408,410,410942,32.68387
Euphorbia lamarckii Sweet,161,410,410380,32.5179
Descurainia bourgeauana (E. Fourn.) O. E. Schulz,122,410,410292,32.42701
Descurainia lemsii Bramwell,124,410,410298,32.42127
Oligomeris linifolia (Vahl) J. F. Macbr.,267,410,410627,32.30019
Erysimum scoparium (Brouss. ex Willd.) Wettst.,155,410,410367,32.29616
Suaeda mollis Delile ,NA,411,411054,32.26616
Dracunculus canariensis Kunth,131,410,410310,31.97225
Cryptotaenia elegans Webb ex Bolle,116,410,410276,31.94923
Crambe strigosa L’Hér.,114,410,410268,31.94668
Lavandula canariensis Mill.,213,410,410515,31.91751
Carex perraudieriana Gay ex Bornm.,83,410,410204,31.88314
Lotus campylocladus Webb & Berthel.,228,410,410543,31.49755
Argyranthemum adauctum (Link) Humphries,31,410,410073,31.36642
Descurainia gonzalesii Svent.,123,410,410293,30.96498
Teline osyrioides (Svent.) P. E. Gibbs & Dingwall,402,410,410928,30.77098
Teline osyrioides (Svent.) P. E. Gibbs & Dingwall,402,410,410929,30.76972
Aizoon canariense L.,23,410,410062,30.74437
Teline stenopetala (Webb & Berthel.) Webb & Berthel.,405,410,410933,30.61702
Reseda scoparia Brouss. ex Willd.,326,410,410752,30.53006
Hypericum grandifolium Choisy,192,410,410466,30.52095
Lotus campylocladus Webb & Berthel.,228,410,410545,30.36166
