id_leaf,Species1,IDindiv,Description,LeafArea cm^2 (of a single leaf),Comments,Species name + individual number
971,Adenocarpus foliolosus ,2,leaf,0.2356,,Adenocarpus foliolosus 2
972,Adenocarpus foliolosus ,2,leaf,0.1361,,Adenocarpus foliolosus 2
973,Adenocarpus foliolosus ,2,leaf,0.1286,,Adenocarpus foliolosus 2
974,Adenocarpus foliolosus ,2,leaf,0.1617,,Adenocarpus foliolosus 2
975,Adenocarpus foliolosus ,2,leaf,0.1153,,Adenocarpus foliolosus 2
976,Adenocarpus foliolosus ,2,leaf,0.1705,,Adenocarpus foliolosus 2
977,Adenocarpus foliolosus ,2,leaf,0.3265,,Adenocarpus foliolosus 2
978,Adenocarpus foliolosus ,2,leaf,0.1166,,Adenocarpus foliolosus 2
979,Adenocarpus foliolosus ,2,leaf,0.1932,,Adenocarpus foliolosus 2
980,Adenocarpus foliolosus ,2,leaf,0.1212,,Adenocarpus foliolosus 2
981,Adenocarpus foliolosus ,3,leaf,0.1273,,Adenocarpus foliolosus 3
982,Adenocarpus foliolosus ,3,leaf,0.1026,,Adenocarpus foliolosus 3
983,Adenocarpus foliolosus ,3,leaf,0.0968,,Adenocarpus foliolosus 3
984,Adenocarpus foliolosus ,3,leaf,0.1075,,Adenocarpus foliolosus 3
985,Adenocarpus foliolosus ,3,leaf,0.0638,,Adenocarpus foliolosus 3
986,Adenocarpus foliolosus ,3,leaf,0.088,,Adenocarpus foliolosus 3
987,Adenocarpus foliolosus ,3,leaf,0.1366,,Adenocarpus foliolosus 3
988,Adenocarpus foliolosus ,3,leaf,0.0896,,Adenocarpus foliolosus 3
989,Adenocarpus foliolosus ,3,leaf,0.1021,,Adenocarpus foliolosus 3
990,Adenocarpus foliolosus ,3,leaf,0.1408,,Adenocarpus foliolosus 3
991,Adenocarpus viscosus ,1,leaf,0.2979,,Adenocarpus viscosus 1
992,Adenocarpus viscosus ,1,leaf,0.3631,,Adenocarpus viscosus 1
993,Adenocarpus viscosus ,1,leaf,0.1397,,Adenocarpus viscosus 1
994,Adenocarpus viscosus ,1,leaf,0.1266,,Adenocarpus viscosus 1
995,Adenocarpus viscosus ,1,leaf,0.1467,,Adenocarpus viscosus 1
996,Adenocarpus viscosus ,1,leaf,0.1381,,Adenocarpus viscosus 1
997,Adenocarpus viscosus ,1,leaf,0.1803,,Adenocarpus viscosus 1
998,Adenocarpus viscosus ,1,leaf,0.3268,,Adenocarpus viscosus 1
999,Adenocarpus viscosus ,1,leaf,0.325,,Adenocarpus viscosus 1
1000,Adenocarpus viscosus ,1,leaf,0.1386,,Adenocarpus viscosus 1
