IDmaster,Species1,IDindiv,indiv_Leaf thickness(mm)
1,Adenocarpus foliolosus ,2,0.088
1,Adenocarpus foliolosus ,3,0.077
2,Adenocarpus viscosus ,2,0.143
2,Adenocarpus viscosus ,3,0.176
2,Adenocarpus viscosus ,3,0.286
3,Aeonium arboreum ,1,1.07
3,Aeonium arboreum ,2,1.863
4,Aeonium canariense ,1,3.775
4,Aeonium canariense ,2,3.125
5,Aeonium ciliatum ,1,3.111
5,Aeonium ciliatum ,2,3.665
5,Aeonium ciliatum ,3,3.289
6,Aeonium cuneatum ,2,2.543
6,Aeonium cuneatum ,3,2.393
8,Aeonium haworthii ,1,4.851
8,Aeonium haworthii ,2,6.639
8,Aeonium haworthii ,3,5.085
9,Aeonium lindleyi ,2,6.461
9,Aeonium lindleyi ,3,6.426
10,Aeonium pseudourbicum ,1,4.563
10,Aeonium pseudourbicum ,1,4.563
10,Aeonium pseudourbicum ,2,4.713
10,Aeonium pseudourbicum ,3,3.302
11,Aeonium sedifolium ,1,2.258
11,Aeonium sedifolium ,2,2.13
11,Aeonium sedifolium ,3,2.694
12,Aeonium smithii ,1,1.413
12,Aeonium smithii ,1,1.413
12,Aeonium smithii ,2,2.38
12,Aeonium smithii ,3,2.945
13,Aeonium spathulatum ,1,0.974
13,Aeonium spathulatum ,2,1.063
13,Aeonium spathulatum ,3,0.724
14,Aeonium tabulaeforme,1,2.138
14,Aeonium tabulaeforme ,2,3.972
14,Aeonium tabulaeforme ,3,3.146
15,Aeonium urbicum ,2,3.575
15,Aeonium urbicum ,3,3.447
16,Aeonium volkerii ,1,3.467
16,Aeonium volkerii ,2,2.956
16,Aeonium volkerii ,3,4.956
17,Aichryson laxum ,2,0.583
17,Aichryson laxum ,3,0.555
17,Aichryson laxum ,3,0.922
18,Aichryson pachycaulon ,2,0.768
18,Aichryson pachycaulon ,3,0.716
19,Aichryson parlatorei ,1,0.507
19,Aichryson parlatorei ,2,0.528
19,Aichryson parlatorei ,3,0.579
19,Aichryson parlatorei ,4,0.831
19,Aichryson parlatorei ,5,0.363
21,Aichryson punctatum ,1,1.12
21,Aichryson punctatum ,2,0.934
21,Aichryson punctatum ,3,0.914
23,Aizoon canariense ,1,0.642
23,Aizoon canariense ,2,0.733
23,Aizoon canariense ,3,0.792
24,Allagopappus canariensis ,1,0.36
24,Allagopappus canariensis ,2,0.366
24,Allagopappus canariensis ,2,0.296
24,Allagopappus canariensis ,3,0.258
435,Allium canariensis ,1,0.177
435,Allium canariensis ,2,0.145
435,Allium canariensis ,3,0.193
435,Allium canariensis ,4,0.185
435,Allium canariensis ,5,0.175
27,Andryala pinnatifida ,2,0.142
27,Andryala pinnatifida ,3,0.129
28,Anisantha rubens ,1,0.079
28,Anisantha rubens ,1,0.059
28,Anisantha rubens ,2,0.102
28,Anisantha rubens ,2,0.077
28,Anisantha rubens ,3,0.066
29,Apollonias barbujana ,1,0.264
29,Apollonias barbujana ,2,0.206
30,Arbutus canariensis ,1,0.242
30,Arbutus canariensis ,1,0.289
31,Argyranthemum adauctum ,1,0.258
31,Argyranthemum adauctum ,2,0.417
31,Argyranthemum adauctum ,3,0.193
32,Argyranthemum broussonetii ,2,0.272
32,Argyranthemum broussonetii ,3,0.249
32,Argyranthemum broussonetii ,4,0.155
33,Argyranthemum coronopifolium ,1,0.413
33,Argyranthemum coronopifolium ,2,0.336
34,Argyranthemum foeniculaceum ,1,0.809
34,Argyranthemum foeniculaceum ,2,1.005
34,Argyranthemum foeniculaceum ,3,0.816
35,Argyranthemum frutescens ,1,1.259
450,Argyranthemum frutescens sub. frutescens,1,0.34
451,Argyranthemum frutescens sub. gracilenses ,1,0.566
452,Argyranthemum frutescens sub. suculentum ,1,1.56
452,Argyranthemum frutescens sub. suculentum ,2,1.059
452,Argyranthemum frutescens sub. suculentum ,3,1.173
36,Argyranthemum gracile ,1,0.621
36,Argyranthemum gracile ,2,0.56
36,Argyranthemum gracile ,3,0.522
37,Argyranthemum lemsii ,1,0.202
37,Argyranthemum lemsii ,2,0.258
37,Argyranthemum lemsii ,3,0.26
38,Argyranthemum sundingii ,1,0.29
39,Argyranthemum tenerifae ,1,0.561
39,Argyranthemum tenerifae ,2,0.388
39,Argyranthemum tenerifae ,3,0.545
439,Argyranthemum vincentii,,0.317
439,Argyranthemum vincentii ,1,0.441
439,Argyranthemum vincentii ,2,0.396
439,Argyranthemum vincentii ,3,0.38
40,Arisarum simorrhinum ,1,0.33
40,Arisarum simorrhinum ,2,0.31
40,Arisarum simorrhinum ,3,0.33
40,Arisarum simorrhinum ,4,0.285
40,Arisarum simorrhinum ,5,0.255
41,Aristida adscensionis ,1,0.248
41,Aristida adscensionis ,2,0.228
41,Aristida adscensionis ,3,0.364
42,Arrhenatherum calderae ,1,0.15
42,Arrhenatherum calderae ,2,0.167
42,Arrhenatherum calderae ,3,0.113
43,Artemisia ramosa ,1,0.431
43,Artemisia ramosa ,2,0.389
43,Artemisia ramosa ,3,0.343
44,Artemisia reptans ,1,0.421
44,Artemisia reptans ,2,0.283
44,Artemisia reptans ,3,0.285
45,Artemisia thuscula ,3,0.181
45,Artemisia thuscula ,3,0.137
47,Asparagus arborescens ,1,0.804
47,Asparagus arborescens ,2,0.669
47,Asparagus arborescens ,3,0.55
48,Asparagus fallax ,1,0.459
49,Asparagus pastorianus ,1,0.652
49,Asparagus pastorianus ,2,0.502
49,Asparagus pastorianus ,3,0.424
50,Asparagus plocamoides ,1,0.372
50,Asparagus plocamoides ,2,0.336
50,Asparagus plocamoides ,3,0.282
51,Asparagus scoparius ,1,0.292
51,Asparagus scoparius ,2,0.08
52,Asparagus umbellatus ,1,0.486
52,Asparagus umbellatus ,1,0.486
52,Asparagus umbellatus ,3,0.528
52,Asparagus umbellatus  ,2,0.532
54,Astydamia latifolia ,1,1.037
54,Astydamia latifolia ,2,0.784
55,Atalanthus arboreus ,1,0.282
56,Atalanthus capillaris ,1,0.595
56,Atalanthus capillaris ,2,0.53
56,Atalanthus capillaris ,3,0.5
57,Atalanthus microcarpus ,1,0.374
57,Atalanthus microcarpus ,2,0.384
58,Atalanthus pinnatus ,1,0.255
62,Avena fatua ,1,0.135
62,Avena fatua ,2,0.118
62,Avena fatua ,3,0.09
63,Bencomia caudata ,1,0.17
63,Bencomia caudata ,2,0.158
63,Bencomia caudata ,3,0.162
63,Bencomia caudata ,3,0.296
64,Bencomia exstipulata ,1,0.348
64,Bencomia exstipulata ,2,0.318
64,Bencomia exstipulata ,3,0.346
433,Bituminaria bituminosa ,1,0.092
433,Bituminaria bituminosa ,2,0.085
65,Bosea yervamora ,1,0.213
65,Bosea yervamora ,2,0.302
65,Bosea yervamora ,3,0.162
66,Brachypodium arbuscula ,1,0.069
68,Bryonia verrucosa ,1,0.577
69,Bufonia paniculata ,1,0.147
69,Bufonia paniculata ,2,0.115
69,Bufonia paniculata ,3,0.072
70,Bupleurum salicifolium ,1,0.29
70,Bupleurum salicifolium ,2,0.308
70,Bupleurum salicifolium ,3,0.357
72,Bystropogon canariensis ,3,0.388
74,Bystropogon origanifolius ,1,0.276
74,Bystropogon origanifolius ,2,0.256
74,Bystropogon origanifolius ,3,0.202
75,Bystropogon plumosus ,1,0.27
75,Bystropogon plumosus ,2,0.305
75,Bystropogon plumosus ,3,0.22
76,Campanula dichotoma ,1,0.115
76,Campanula dichotoma ,2,0.124
76,Campanula dichotoma ,3,0.084
77,Campylanthus salsoloides ,1,2.889
77,Campylanthus salsoloides ,2,1.072
77,Campylanthus salsoloides ,3,1.294
78,Canarina canariensis ,1,0.266
78,Canarina canariensis ,2,0.068
78,Canarina canariensis ,3,0.171
79,Carduus clavulatus ,2,0.178
