IDmaster,Species,Plant_height_max_meter,"Book page (Muer, et al. 2016. Die Farn-und Blütenpflanzen der Kanarischen Inseln)/link"
1,Adenocarpus foliolosus (Aiton) DC. var. foliolosus,4,335
2,Adenocarpus viscosus (Willd.) Webb & Berthel. ssp. viscosus,1,336
3,Aeonium arboreum (L.) Webb & Berthel. ssp. holochrysum (H. Y. Liu) Bañares,2,273
4,Aeonium canariense (L.) Webb & Berthel. ssp. canariense,0.4,269
5,Aeonium ciliatum (Willd.) Webb & Berthel.,1,279
6,Aeonium cuneatum Webb & Berthel.,1.2,268
7,Aeonium decorum Webb ex Bolle,0.6,280
8,Aeonium haworthii Webb & Berthel.,0.4,276
9,Aeonium lindleyi Webb & Berthel. ssp. lindleyi,0.5,264
10,Aeonium pseudourbicum A. Bañares,0.6,278
11,Aeonium sedifolium (Webb ex Bolle) Pit. & Proust,0.4,265
12,Aeonium smithii (Sims) Webb & Berthel.,0.6,267
13,Aeonium spathulatum (Horn.) Praeger,0.6,267
14,Aeonium tabulaeforme (Haw.) Webb & Berthel.,0.6,268
15,Aeonium urbicum (Buch) Webb & Berthel. var. meridionale Bañares,0.9,277
16,Aeonium volkeri Hernández & Bañares,0.4,283
17,Aichryson laxum (Haw.) Bramwell,0.3,253
18,Aichryson pachycaulon Bolle ssp. immaculatum (Webb ex Christ) Bramw.,0.65,254
19,Aichryson parlatorei Bolle,0.1,258
20,Aichryson porphyrogennetos Bolle,0.2,258
21,Aichryson punctatum (Buch) Webb & Berthel.,0.6,259
22,Aichryson tortuosum (Aiton) Webb & Berthel. var. bethencourtianum (Bolle) Bañares & S. Scholz,0.15,259
23,Aizoon canariense L.,0.01,118
24,Allagopappus canariensis (Willd.) Greuter,1.2,904
25,Ammodaucus nanocarpus (Beltrán-Tej.) P. Pérez & A. Velasco,0.2,519
26,Anagyris latifolia Brouss. ex Willd.,3,329
27,Andryala pinnatifida Ait. ssp. teydensis (Sch. Bip.) Rivas-Mart.,1,1068
28,Bromus rigidus Roth,0.6,1225
29,Apollonias barbujana (Cav.) Bornm. ssp. barbujana,25,91
30,Arbutus canariensis Veill.,10,658
31,Argyranthemum adauctum (Link) Humphries ssp. adauctum,1.2,929
32,Argyranthemum broussonetii (Pers.) Humphries ssp. broussonetii,1.5,932
33,Argyranthemum coronopifolium (Willd.) Humphries,1.2,933
34,Argyranthemum foeniculaceum (Willd.) Webb ex Sch. Bip.,1,935
35,Argyranthemum frutescens (L.) Sch. Bip. ssp. parviflorum (Pit. & Proust) Humphries,0.6,937
36,Argyranthemum gracile Sch. Bip.,1.2,939
37,Argyranthemum lemsii Humphries,0.5,940
38,Argyranthemum sundingii L. Borgen,0.9,942
39,Argyranthemum teneriffae Humphries,0.5,943
40,Arisarum simorrhinum (Dur.) Maire & Weiller ssp. subexertum (Webb) Talavera,0.4,1242
41,Aristida adscensionis L.,0.8,
42,Arrhenatherum calderae A. Hansen,1,1183
43,Artemisia ramosa C. Sm.,0.8,953
44,Artemisia reptans C. Sm.,0.3,953
45,Artemisia thuscula Cav.,1,954
46,Arthrocnemum macrostachyum (Moric.) K. Koch,1.5,194
47,Asparagus arborescens Willd.,2,1096
