IDmaster,Species,Amount of seeds,Seeds dry mass (g),Seeds fresh mass (g),Source of seed mass information,Gran Canaria Botanical Garten Seed Bank ,La Orotava Seed Bank ,Collection date,Amount of seeds Type II,Seeds dry mass (g) Type II (flósculos),Date,Species1
1,Adenocarpus foliolosus (Aiton) DC.,100,0.42,0.44,La Orotava Seed Bank,,YES,06.07.2017,,,,Adenocarpus foliolosus
2,Adenocarpus viscosus (Willd.) Webb & Berthel.,100,0.59,0.61,La Orotava Seed Bank,,YES,20.07.2017,,,,Adenocarpus viscosus
3,Aeonium arboreum (L.) Webb & Berthel.,100,0.0013,,GC seed bank,YES,,,,,12.02.2018,Aeonium arboreum
4,Aeonium canariense (L.) Webb & Berthel.,200,0.0053,,GC seed bank,YES,,,,,12.02.2018,Aeonium canariense
5,Aeonium ciliatum (Willd.) Webb & Berthel.,50,0.005,,GC seed bank,YES,,,,,22.01.2018,Aeonium ciliatum
6,Aeonium cuneatum Webb & Berthel.,200,0.0046,,La Orotava Seed Bank,,YES,,,,01.02.2018,Aeonium cuneatum
7,Aeonium decorum Webb ex Bolle,200,0.0051,,GC seed bank,YES,,,,,25.01.2018,Aeonium decorum
8,Aeonium haworthii (Salm-Dyck ex Webb & Berthel.) Webb & Berthel.,200,0.0017,,GC seed bank,YES,,,,,08.02.2018,Aeonium haworthii
9,Aeonium lindleyi Webb & Berthel.,,,,KEW,,,,,,,Aeonium lindleyi
10,Aeonium pseudourbicum A. Bañares,200,0.0039,,GC seed bank,YES,,,,,12.02.2018,Aeonium pseudourbicum
11,Aeonium sedifolium (Webb ex Bolle) Pit. & Proust,100,0.0026,,GC seed bank,YES,,,,,19.12.2017,Aeonium sedifolium
12,Aeonium smithii (Sims) Webb & Berthel.,200,0.0178,,GC seed bank,YES,,,,,29.01.2018,Aeonium smithii
13,Aeonium spathulatum (Hornem.) Praeger,200,0.0128,,GC seed bank,YES,,,,,19.12.2017,Aeonium spathulatum
14,Aeonium tabulaeforme (Haw.) Webb & Berthel.,1000,0.0276,,KEW,,,,,,,Aeonium tabulaeforme
15,Aeonium urbicum (C. Sm. ex Buch) Webb & Berthel.,200,0.0116,,GC seed bank,YES,,,,,23.01.2018,Aeonium urbicum
16,Aeonium volkerii Hernández & A. Bañares,200,0.0071,,La Orotava Seed Bank,,YES,,,,01.02.2018,Aeonium volkerii
17,Aichryson laxum (Haw.) Bramwell,200,0.0017,,GC seed bank,YES,,,,,14.02.2018,Aichryson laxum
18,Aichryson pachycaulon Bolle,,,,,,,,,,,Aichryson pachycaulon
19,Aichryson parlatorei Bolle,,,,,,,,,,,Aichryson parlatorei
20,Aichryson porphyrogennetos Bolle,,,,,,,,,,,Aichryson porphyrogennetos
21,Aichryson punctatum (C. Sm. ex Buch) Webb & Berthel.,1000,0.0774,,GC seed bank,YES,,,,,18.12.2017,Aichryson punctatum
22,Aichryson tortuosum (Aiton) Webb & Berthel.,,,,,,,,,,,Aichryson tortuosum
23,Aizoon canariense L.,1,0.01196,,TRY,,,,,,,Aizoon canariense
24,Allagopappus canariensis (Willd.) Greuter,1000,0.6464,,KEW,,,,,,,Allagopappus canariensis
25,Ammodaucus nanocarpus (Beltrán-Tej.) P. Pérez & A. Velasco,35,0.2101,,GC seed bank,YES,,,,,12.02.2018,Ammodaucus nanocarpus
26,Anagyris latifolia Brouss. ex Willd.,20,4.3173,,GC seed bank,YES,,,,,09.02.2018,Anagyris latifolia
27,Andryala pinnatifida Aiton,100,0.0127,,GC seed bank,YES,,,,,08.02.2018,Andryala pinnatifida
28,Anisantha rubens (L.),,,,,,,,,,,Anisantha rubens
29,Apollonias barbujana (Cav.) Bornm.,5,2.5247,,GC seed bank,YES,,,,,14.02.2018,Apollonias barbujana
30,Arbutus canariensis Veill.,50,0.1655,,GC seed bank,YES,,,,,29.01.2018,Arbutus canariensis
31,Argyranthemum adauctum (Link) Humphries,50,0.2668,,GC seed bank,YES,,,100,0.0584,16.10.2017,Argyranthemum adauctum
32,Argyranthemum broussonetii (Pers.) Humphries,50,0.0965,,GC seed bank,YES,,,SEMILLAS ABORTADAS,SEMILLAS ABORTADAS,29.01.2018,Argyranthemum broussonetii
33,Argyranthemum coronopifolium (Willd.) Humphries,50,0.5233,,La Orotava Seed Bank,,YES,,SEMILLAS ABORTADAS,SEMILLAS ABORTADAS,01.02.2018,Argyranthemum coronopifolium
34,Argyranthemum foeniculaceum (Willd.) Webb ex Sch. Bip.,40,0.0956,,GC seed bank,YES,,,SEMILLAS ABORTADAS,SEMILLAS ABORTADAS,22.01.2018,Argyranthemum foeniculaceum
35,Argyranthemum frutescens (L.) Sch. Bip.,50,0.1611,,GC seed bank,YES,,,100,0.0211,23.01.2018,Argyranthemum frutescens
36,Argyranthemum gracile Sch. Bip.,50,0.1747,,GC seed bank,YES,,,100,0.0247,23.01.2018,Argyranthemum gracile
