IDmaster,Species,total number of individual collected for stem. *indicates average already calculated,individual,stem length (cm) ,D1 (mm) ,D2 (mm) ,D3 (mm) ,Stem fresh mass (g),Stem dry mass (g),average D (mm). Formula =AVERAGE(F2:H2),Stem volume - 1 mm^3.  Formula =PI()*(K2*0.5)^2*(E2*10),Stem specific density (SSD) (mg/mm^3). 
1,Adenocarpus foliolosus (Aiton) DC.,3,2,10,33.66,29.92,30.89,80.83,43.43,31.49,77881.6605,0.557641
1,Adenocarpus foliolosus (Aiton) DC.,3,3,10,,23.84,21.75,26.03,21.26,22.795,40810.233,0.520948
1,Adenocarpus foliolosus (Aiton) DC.,3,,,,,,,,,,
1,Adenocarpus foliolosus (Aiton) DC.,3,,,,,,,,,,
1,Adenocarpus foliolosus (Aiton) DC.,3,,,,,,,,,,
2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,4,10,21.35,21.14,21.85,38.92,19.37,21.4467,36125.1355,0.536192
2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,3,10,20.44,20.56,19.87,33.16,17.11,20.29,32333.5936,0.529171
2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,1,10,27.91,27.05,36.6,,31.23,30.52,73157.5141,0.426887
2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,,,,,,,,,,
2,Adenocarpus viscosus (Willd.) Webb & Berthel.,3,,,,,,,,,,
3,Aeonium arboreum (L.) Webb & Berthel.,3,2,10,35.38,33.99,34.41,95.94,36.38,34.5933,93988.497,0.387069
3,Aeonium arboreum (L.) Webb & Berthel.,3,,10,24.01,22.85,22.88,45.6,16.15,23.2467,42443.5067,0.380506
3,Aeonium arboreum (L.) Webb & Berthel.,3,3,10,14.42,13.23,11.55,15.69,4.29,13.0667,13409.7137,0.319917
3,Aeonium arboreum (L.) Webb & Berthel.,3,,,,,,,,,,
3,Aeonium arboreum (L.) Webb & Berthel.,3,,,,,,,,,,
4,Aeonium canariense (L.) Webb & Berthel.,,,,,,,,,,,
4,Aeonium canariense (L.) Webb & Berthel.,,,,,,,,,,,
4,Aeonium canariense (L.) Webb & Berthel.,,,,,,,,,,,
4,Aeonium canariense (L.) Webb & Berthel.,,,,,,,,,,,
4,Aeonium canariense (L.) Webb & Berthel.,,,,,,,,,,,
5,Aeonium ciliatum (Willd.) Webb & Berthel.,2,2,10,9.08,5.01,3.73,3.15,1.4,5.94,2771.1675,0.505202
5,Aeonium ciliatum (Willd.) Webb & Berthel.,2,,10,19.04,19.49,20.52,34.24,12.98,19.6833,30428.9647,0.426567
