Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.,Accepted_name_TNRS2022,coment,growth_form,growthform_source
Abarema jupunba,369.48,28.815,72.118,35,122.9509,0.55,Abarema jupunba,original_Diaz,tree,GIFT
Abies alba,32.42,26.4,106.045,42.074,62.0067,0.499,Abies alba,original_Diaz,tree,GIFT
Abies balsamea,35,14.081,140.028,17.977,6.7106,0.42,Abies balsamea,original_Diaz,tree,GIFT
Abies concolor,75.99,13.003,208.855,43.946,34.7189,0.4,Abies concolor,original_Diaz,tree,GIFT
Abies fraseri,34.6,17.839,182.054,20.356,7.1389,0.525,Abies fraseri,original_Diaz,tree,GIFT
Abies grandis,180,14.6,212.766,54.917,17.579,0.42,Abies grandis,original_Diaz,tree,GIFT
Abies lasiocarpa,35.04,13.439,276.007,26.655,12.6603,0.32,Abies lasiocarpa,original_Diaz,tree,GIFT
Abutilon theophrasti,15964.06,39.3,41.157,1.5,8.4909,0.212,Abutilon theophrasti,original_Diaz,herb,GIFT
Acacia aroma,3.07,32.485,122.256,2.031,55.79,0.8,Vachellia aroma,original_Diaz,tree,GIFT
Acacia auriculiformis,4000,21.037,105.063,30,19.0136,0.511,Acacia auriculiformis,original_Diaz,tree,GIFT
Acacia caven,1.15,28.733,83.795,3.331,100.9178,0.869,Vachellia caven,original_Diaz,tree,GIFT
Acacia furcatispina,3.07,35.32,189.367,1.88,51.35,0.909,Senegalia gilliesii,original_Diaz,tree,GIFT
Acacia gerrardii,1807.92,28.219,161.657,11,67.8622,0.77,Vachellia gerrardii,original_Diaz,tree,GIFT
Acacia karroo,100,21.563,113.966,5.705,17.6437,0.68,Vachellia karroo,original_Diaz,tree,GIFT
Acacia koa,2042.29,24.987,119.989,18.44,140.2733,0.61,Acacia koa,original_Diaz,tree,GIFT
Acacia mangium,9050,23.391,65.789,12,14.1439,0.49,Acacia mangium,original_Diaz,tree,GIFT
Acacia mearnsii,1.8,26.296,106.029,4.387,14.0075,0.625,Acacia mearnsii,original_Diaz,tree,GIFT
Acacia melanoxylon,1088.96,24.1,120.024,9.206,12.9895,0.529,Acacia melanoxylon,original_Diaz,tree,GIFT
Acacia nilotica,1691.79,19.87,192.764,5.35,133.5694,0.771,Vachellia nilotica,original_Diaz,tree,GIFT
Acacia praecox,5.85,31.64,105.91,5,73,0.838,Senegalia praecox,original_Diaz,tree,GIFT
Acacia robusta,8198.9,22.711,139.008,7.954,134.8674,0.73,Vachellia robusta,original_Diaz,tree,GIFT
Acalypha virginica,1351.62,24.567,34.457,0.91,0.6394,0.222,Acalypha virginica,original_Diaz,herb,GIFT
Acer buergerianum,700,23.44,52.021,21.544,11,0.62,Acer buergerianum,original_Diaz,tree,GIFT
Acer campestre,3146.41,21.331,72.148,12.217,122,0.607,Acer campestre,original_Diaz,tree,GIFT
Acer macrophyllum,11632.91,26.4,33.852,22.451,130.5233,0.468,Acer macrophyllum,original_Diaz,tree,GIFT
Acer monspessulanum,1232.88,19.562,84.904,7.666,26.6805,0.9,Acer monspessulanum,original_Diaz,tree,GIFT
Acer pensylvanicum,12989.32,20.769,35.092,12.762,39.7423,0.44,Acer pensylvanicum,original_Diaz,tree,GIFT
Acer pictum,2600.94,16,39.347,18.317,28.7102,0.626,Acer pictum,original_Diaz,tree,GIFT
Acer platanoides,7085.13,19.417,51.661,21.926,121.5964,0.584,Acer platanoides,original_Diaz,tree,GIFT
Acer pseudoplatanus,8456.57,23.626,72.118,24.463,64.6069,0.563,Acer pseudoplatanus,original_Diaz,tree,GIFT
Acer rubrum,2989.66,17.809,58.657,14.119,21.9339,0.568,Acer rubrum,original_Diaz,tree,GIFT
Acer saccharinum,4605.58,23.66,51.099,33.665,156.1993,0.51,Acer saccharinum,original_Diaz,tree,GIFT
Acer saccharum,4735.7,18.048,46.151,32.935,52.8034,0.66,Acer saccharum,original_Diaz,tree,GIFT
Achillea leptophylla,20.97,18.478,188.122,0.042,0.09,0.231,Achillea leptophylla,original_Diaz,herb,GIFT
Achillea millefolium,627.23,20.548,72.415,0.313,0.1428,0.231,Achillea millefolium,original_Diaz,herb,GIFT
Acinos alpinus,76.63,16.1,67.864,0.171,1.6,0.265,Clinopodium alpinum,original_Diaz,herb,GIFT
Acorus calamus,8953.14,18,62.538,0.967,2.3701,0.215,Acorus calamus,original_Diaz,herb,GIFT
Acronychia pedunculata,5083.92,21,103.093,13.66,129.868,0.451,Acronychia pedunculata,original_Diaz,tree,GIFT
Actaea spicata,21940.22,23.003,26.925,0.464,6.2782,0.224,Actaea spicata,original_Diaz,herb,GIFT
Adansonia digitata,8641.36,21.912,67.569,20,483.6321,0.27,Adansonia digitata,original_Diaz,tree,GIFT
Adelia triloba,3491.45,28.62,38.417,19.213,91.8456,0.594,Adelia triloba,original_Diaz,tree,GIFT
Adenostoma fasciculatum,5.69,10.19,232.086,3.491,0.9578,0.75,Adenostoma fasciculatum,original_Diaz,shrub,GIFT
Adenostyles alpina,18139.15,26.194,49.604,0.512,1.38,0.171,Adenostyles alpina,original_Diaz,herb,GIFT
Adoxa moschatellina,1807.64,37.242,26.15,0.085,32.315,0.164,Adoxa moschatellina,original_Diaz,herb,GIFT
Aegilops geniculata,37,28.611,42.702,0.085,13.0511,0.234,Aegilops geniculata,original_Diaz,herb,GIFT
Aegopodium podagraria,2761.61,27.494,35.335,0.621,2.2244,0.1,Aegopodium podagraria,original_Diaz,herb,GIFT
Aesculus californica,1740.56,20.354,62.729,10.711,36733.6553,0.48,Aesculus californica,original_Diaz,tree,GIFT
Aesculus hippocastanum,5885.85,22.014,75.341,17.036,9672.3883,0.5,Aesculus hippocastanum,original_Diaz,tree,GIFT
Afrocarpus falcatus,219.96,12.221,210.951,30,458.5813,0.52,Afrocarpus falcatus,original_Diaz,tree,GIFT
Ageratina liebmannii,2076.71,29.068,31.915,0.9,0.1931,0.201,Ageratina liebmannii,original_Diaz,herb,GIFT
Agoseris glauca,520,17.17,50.251,0.182,1.1523,0.172,Agoseris glauca,original_Diaz,herb,GIFT
Agrimonia eupatoria,4557.53,16.545,54.608,0.487,6.7809,0.247,Agrimonia eupatoria,original_Diaz,herb,GIFT
Agropyron cristatum,167.75,15.25,111.902,0.429,2.829,0.388,Agropyron cristatum,original_Diaz,herb,GIFT
Agropyron desertorum,290,23.15,112.36,0.387,2.1044,0.376,Agropyron desertorum,original_Diaz,herb,GIFT
